val_loss,epoch,best_of,type,batch_size,val_split,maxlen,layer,unit,train_start,train_dur,filepath,history
1.36618,14,3,CuDNNGRU,128,0.05,5,1,221,2018-10-05 17:30:17,0:03:08,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1_unit-221.hdf5,"{""loss"": [2.0503680039903616, 1.7089093897912726, 1.5673833645687718, 1.4779155392875227, 1.416168797842534, 1.3699812878975086, 1.3334587228211368, 1.3040188449104622, 1.2784254256264993, 1.2577282289068754, 1.2383065465530627, 1.2219361583221955, 1.2062337713212112, 1.1931210858477652, 1.180632855698256, 1.1692539870472485], ""val_loss"": [1.8192945818916242, 1.6398784367506323, 1.5479946568271594, 1.494393273275159, 1.45426718886386, 1.4268801022097972, 1.4124016056557658, 1.3990881432841973, 1.3881904486219967, 1.3838032930383624, 1.3756602185327302, 1.3722242477175446, 1.373842875505236, 1.3661815667061694, 1.3727408621342474, 1.3766531269412778]}"
1.35386,9,3,CuDNNGRU,128,0.05,5,2,221,2018-10-05 17:33:25,0:03:32,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-2_unit-221.hdf5,"{""loss"": [1.9103477138473655, 1.5496795023621162, 1.4236302284891513, 1.3520597278135895, 1.3026420727801271, 1.265425207579021, 1.2356145729121464, 1.2107474946119015, 1.1899206384387586, 1.170499370781579, 1.1547175872600777, 1.1395366953164132, 1.1256053687777015], ""val_loss"": [1.663123891816227, 1.497878804369015, 1.4359664012208582, 1.3996964209438323, 1.3852849251846875, 1.3725495182104441, 1.3659684188766354, 1.3590466057683142, 1.353855934505165, 1.3618782985209492, 1.3622940686078757, 1.3594425602890021, 1.3721987208980184]}"
1.34968,7,3,CuDNNGRU,128,0.05,5,3,221,2018-10-05 17:44:07,0:03:53,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-3_unit-221.hdf5,"{""loss"": [1.8812104162409164, 1.4938777785158517, 1.3743214619009543, 1.3073111991758146, 1.2617038986892017, 1.227597515661049, 1.2013138817222337, 1.178612168216363, 1.1611792998053505, 1.1455626629205329, 1.1320638220629873], ""val_loss"": [1.6032041246656472, 1.4641771240905999, 1.3990699739798282, 1.376559872667615, 1.3668064885613749, 1.353602529655046, 1.3496805803312426, 1.35560123550567, 1.3543762218527324, 1.363785901030025, 1.3575194319061485]}"
