val_loss,epoch,best_of,type,batch_size,val_split,maxlen,layer,unit,train_start,train_dur,filepath,history
1.37716,11,3,CuDNNGRU,128,0.05,5,1,221,2018-10-05 17:23:10,0:03:25,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1_unit-221.r0.hdf5,"{""loss"": [2.0541345079786986, 1.7091009295445376, 1.5671576713438193, 1.4775779495951273, 1.4159652821865136, 1.37042178099433, 1.3334574978665408, 1.303382426488384, 1.2778946822694077, 1.2562780336215806, 1.2382128054652457, 1.2210676447043638, 1.2065350441487532, 1.192829493892028, 1.1808108819943821, 1.170643373180019], ""val_loss"": [1.8229219659217646, 1.6402268751926956, 1.5430590275865097, 1.486709276289014, 1.4535954569204133, 1.4228846752381639, 1.41064648054727, 1.3962378624072587, 1.3897179142271234, 1.3882596479901357, 1.3771617334353108, 1.3808596291909705, 1.3880361570724373, 1.3802279094905898, 1.381917116286379, 1.3835162753616026]}"
1.36914,15,3,CuDNNGRU,128,0.05,5,1,221,2018-10-05 17:26:36,0:03:40,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1_unit-221.r1.hdf5,"{""loss"": [2.0578068690485867, 1.7147425472307134, 1.5728547206159118, 1.4817429150161596, 1.4188248053452648, 1.3716478594467623, 1.3355825671961326, 1.304847066897295, 1.2798629771355372, 1.2575938329476362, 1.2387327343529249, 1.2222146909758271, 1.2069477389529397, 1.1935817147403123, 1.1817983649816324, 1.170529445977393, 1.1605288908833766, 1.150916597181181], ""val_loss"": [1.8328686128705636, 1.6457125481837969, 1.546372003516052, 1.488113816790222, 1.4508655242496362, 1.4347813480693978, 1.407906712883331, 1.3984875717058678, 1.3873156585422342, 1.3808563873258581, 1.3805186153800326, 1.3795018095677292, 1.3734955399272808, 1.3751366108838738, 1.3691427740531268, 1.371376958523897, 1.3707163027238287, 1.3792450260843898]}"
1.36618,14,3,CuDNNGRU,128,0.05,5,1,221,2018-10-05 17:30:17,0:03:08,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1_unit-221.r2.hdf5,"{""loss"": [2.0503680039903616, 1.7089093897912726, 1.5673833645687718, 1.4779155392875227, 1.416168797842534, 1.3699812878975086, 1.3334587228211368, 1.3040188449104622, 1.2784254256264993, 1.2577282289068754, 1.2383065465530627, 1.2219361583221955, 1.2062337713212112, 1.1931210858477652, 1.180632855698256, 1.1692539870472485], ""val_loss"": [1.8192945818916242, 1.6398784367506323, 1.5479946568271594, 1.494393273275159, 1.45426718886386, 1.4268801022097972, 1.4124016056557658, 1.3990881432841973, 1.3881904486219967, 1.3838032930383624, 1.3756602185327302, 1.3722242477175446, 1.373842875505236, 1.3661815667061694, 1.3727408621342474, 1.3766531269412778]}"
1.35386,9,3,CuDNNGRU,128,0.05,5,2,221,2018-10-05 17:33:25,0:03:32,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-2_unit-221.r0.hdf5,"{""loss"": [1.9103477138473655, 1.5496795023621162, 1.4236302284891513, 1.3520597278135895, 1.3026420727801271, 1.265425207579021, 1.2356145729121464, 1.2107474946119015, 1.1899206384387586, 1.170499370781579, 1.1547175872600777, 1.1395366953164132, 1.1256053687777015], ""val_loss"": [1.663123891816227, 1.497878804369015, 1.4359664012208582, 1.3996964209438323, 1.3852849251846875, 1.3725495182104441, 1.3659684188766354, 1.3590466057683142, 1.353855934505165, 1.3618782985209492, 1.3622940686078757, 1.3594425602890021, 1.3721987208980184]}"
1.35590,10,3,CuDNNGRU,128,0.05,5,2,221,2018-10-05 17:36:58,0:03:15,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-2_unit-221.r1.hdf5,"{""loss"": [1.9144246313530051, 1.5510270755508335, 1.4246517536304797, 1.3498056394765188, 1.3006793933739818, 1.2628031207361066, 1.232458486608728, 1.2067728330879308, 1.185356991593364, 1.1661674505595883, 1.149791446284583, 1.134902292210888], ""val_loss"": [1.6661120177018771, 1.5048800839780974, 1.4385317252913157, 1.3975653295348878, 1.3743287247709537, 1.3655524240979238, 1.3607727972855246, 1.3614369229098935, 1.3586792266556764, 1.3559045361772772, 1.3601046424167886, 1.3586433221949712]}"
1.35559,9,3,CuDNNGRU,128,0.05,5,2,221,2018-10-05 17:40:13,0:03:53,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-2_unit-221.r2.hdf5,"{""loss"": [1.9167074023283395, 1.5478554074612108, 1.4212853221916852, 1.3497714340926015, 1.300509922850786, 1.2632128372441909, 1.2330026504513858, 1.2076129521035917, 1.1867101465599188, 1.1675075525050316, 1.1511954436818346, 1.137247303145465, 1.122999915401127, 1.1117349940780399], ""val_loss"": [1.6648216952410477, 1.5045439677168488, 1.435186527745214, 1.4039939619737878, 1.3860800342350996, 1.3680962168732567, 1.3658555273369553, 1.362523385998773, 1.3555860625206382, 1.3600519284003176, 1.3619049198370707, 1.3639508711920547, 1.3634364073094545, 1.3657631875935692]}"
1.34968,7,3,CuDNNGRU,128,0.05,5,3,221,2018-10-05 17:44:07,0:03:53,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-3_unit-221.r0.hdf5,"{""loss"": [1.8812104162409164, 1.4938777785158517, 1.3743214619009543, 1.3073111991758146, 1.2617038986892017, 1.227597515661049, 1.2013138817222337, 1.178612168216363, 1.1611792998053505, 1.1455626629205329, 1.1320638220629873], ""val_loss"": [1.6032041246656472, 1.4641771240905999, 1.3990699739798282, 1.376559872667615, 1.3668064885613749, 1.353602529655046, 1.3496805803312426, 1.35560123550567, 1.3543762218527324, 1.363785901030025, 1.3575194319061485]}"
1.35370,8,3,CuDNNGRU,128,0.05,5,3,221,2018-10-05 17:48:00,0:03:27,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-3_unit-221.r1.hdf5,"{""loss"": [1.8793052336662588, 1.491965485289919, 1.372980969123927, 1.306189679909284, 1.2614956098207715, 1.227336004670559, 1.2016328013998252, 1.1780394381637886, 1.1604947582478098, 1.1450214146663504], ""val_loss"": [1.6012735039895898, 1.4611227093891417, 1.3975049368629304, 1.3743275095470686, 1.356876280257972, 1.3540246953263733, 1.3542077038097255, 1.3536987103645046, 1.3542130995874162, 1.355052390919773]}"
1.35347,7,3,CuDNNGRU,128,0.05,5,3,221,2018-10-05 17:51:28,0:03:28,saved_models/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-1-2-3_unit-221_v1.0/CuDNNGRU_bs-128_vs-0.05_ml-5_layer-3_unit-221.r2.hdf5,"{""loss"": [1.8805449452762177, 1.4927369612247674, 1.3752522320594238, 1.309173439542951, 1.2641421577870642, 1.2301408513472922, 1.202672223210283, 1.181226511985187, 1.1629694662083514, 1.1476667170567822], ""val_loss"": [1.6113133176308498, 1.4695457000985668, 1.401270676421882, 1.3801962448227192, 1.3594644316161528, 1.3572138345836713, 1.353467691610185, 1.354869218871908, 1.3575865984407305, 1.363960103511403]}"
